juy,Month,Package,Low Price,High Price,Price
75,10,1 1/9 bushel cartons,18.0,18.0,16.2
76,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
77,10,1 1/9 bushel cartons,17.0,18.5,15.975
78,10,1 1/9 bushel cartons,15.0,15.0,13.5
79,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
80,10,1 1/9 bushel cartons,17.0,18.5,15.975
81,10,1 1/9 bushel cartons,15.0,15.0,13.5
82,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
83,10,1 1/9 bushel cartons,17.0,18.5,15.975
84,10,1 1/9 bushel cartons,15.0,15.0,13.5
85,10,1 1/9 bushel cartons,16.0,17.0,14.85
86,10,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
87,9,1 1/9 bushel cartons,18.0,18.0,16.2
88,9,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
89,9,1 1/9 bushel cartons,18.0,18.0,16.2
90,9,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
91,9,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
92,9,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
93,9,24 inch bins,160.0,160.0,160.0
94,9,24 inch bins,200.0,200.0,200.0
95,9,24 inch bins,190.0,200.0,195.0
96,9,24 inch bins,50.0,60.0,55.0
97,9,24 inch bins,50.0,60.0,55.0
98,9,24 inch bins,50.0,60.0,55.0
99,10,24 inch bins,50.0,60.0,55.0
100,10,24 inch bins,50.0,60.0,55.0
101,10,24 inch bins,50.0,60.0,55.0
102,10,24 inch bins,50.0,60.0,55.0
103,10,24 inch bins,50.0,60.0,55.0
104,10,24 inch bins,50.0,60.0,55.0
105,10,24 inch bins,40.0,60.0,50.0
106,10,24 inch bins,40.0,60.0,50.0
107,10,24 inch bins,50.0,60.0,55.0
108,10,24 inch bins,50.0,60.0,55.0
109,10,24 inch bins,50.0,60.0,55.0
110,10,24 inch bins,40.0,60.0,50.0
111,10,24 inch bins,40.0,60.0,50.0
112,10,24 inch bins,50.0,60.0,55.0
113,10,24 inch bins,50.0,60.0,55.0
114,10,24 inch bins,40.0,60.0,50.0
115,10,24 inch bins,50.0,60.0,55.0
116,10,24 inch bins,50.0,60.0,55.0
117,10,24 inch bins,50.0,60.0,55.0
118,9,24 inch bins,50.0,50.0,50.0
119,9,24 inch bins,50.0,50.0,50.0
120,9,24 inch bins,160.0,240.0,200.0
121,9,24 inch bins,240.0,240.0,240.0
122,9,24 inch bins,240.0,240.0,240.0
123,9,1/2 bushel cartons,18.0,18.0,36.0
124,9,1/2 bushel cartons,15.0,15.0,30.0
125,10,1/2 bushel cartons,18.0,18.0,36.0
126,10,1/2 bushel cartons,15.0,15.0,30.0
127,10,1/2 bushel cartons,17.0,17.0,34.0
128,10,1/2 bushel cartons,15.0,15.0,30.0
129,10,1/2 bushel cartons,15.0,18.0,33.0
130,10,1/2 bushel cartons,16.0,17.0,33.0
131,10,1/2 bushel cartons,16.0,18.0,34.0
132,10,1/2 bushel cartons,15.0,15.0,30.0
133,10,1/2 bushel cartons,15.0,15.0,30.0
134,10,1/2 bushel cartons,16.0,17.0,33.0
135,10,1/2 bushel cartons,16.0,18.0,34.0
136,10,1/2 bushel cartons,15.0,15.0,30.0
137,10,1/2 bushel cartons,15.0,15.0,30.0
138,10,1/2 bushel cartons,16.0,17.0,33.0
139,10,1/2 bushel cartons,16.0,18.0,34.0
140,10,1/2 bushel cartons,15.0,17.0,32.0
141,10,1/2 bushel cartons,15.0,15.0,30.0
142,10,1/2 bushel cartons,16.0,17.0,33.0
143,10,1/2 bushel cartons,16.0,18.0,34.0
144,11,1/2 bushel cartons,16.0,17.0,33.0
145,9,1/2 bushel cartons,18.0,18.0,36.0
146,9,1/2 bushel cartons,18.0,18.0,36.0
147,9,1/2 bushel cartons,18.0,18.0,36.0
148,9,1/2 bushel cartons,18.0,18.0,36.0
149,9,1/2 bushel cartons,18.0,18.0,36.0
150,9,1/2 bushel cartons,15.0,15.0,30.0
151,10,1/2 bushel cartons,15.0,15.0,30.0
152,10,1/2 bushel cartons,15.0,15.0,30.0
153,9,24 inch bins,140.0,154.75,147.375
154,9,24 inch bins,145.0,154.75,149.875
155,9,24 inch bins,150.0,154.75,152.375
156,9,24 inch bins,150.0,150.0,150.0
157,10,24 inch bins,140.0,154.75,147.375
158,10,24 inch bins,145.0,154.75,149.875
159,10,24 inch bins,150.0,154.75,152.375
160,10,24 inch bins,150.0,150.0,150.0
161,10,24 inch bins,140.0,154.75,147.375
162,10,24 inch bins,145.0,154.75,149.875
163,10,24 inch bins,150.0,154.75,152.375
164,10,24 inch bins,150.0,150.0,150.0
165,10,24 inch bins,140.0,145.0,142.5
166,10,24 inch bins,140.0,154.75,147.375
167,10,24 inch bins,145.0,154.75,149.875
168,10,24 inch bins,150.0,154.75,152.375
169,10,24 inch bins,150.0,150.0,150.0
170,10,24 inch bins,140.0,145.0,142.5
171,10,24 inch bins,140.0,154.75,147.375
172,10,24 inch bins,145.0,154.75,149.875
173,10,24 inch bins,150.0,154.75,152.375
174,10,24 inch bins,150.0,150.0,150.0
175,10,24 inch bins,140.0,145.0,142.5
176,10,24 inch bins,140.0,154.75,147.375
177,10,24 inch bins,145.0,154.75,149.875
178,10,24 inch bins,150.0,154.75,152.375
179,10,24 inch bins,150.0,150.0,150.0
180,11,24 inch bins,140.0,145.0,142.5
181,11,24 inch bins,140.0,154.75,147.375
182,11,24 inch bins,145.0,154.75,149.875
183,11,24 inch bins,150.0,154.75,152.375
184,11,24 inch bins,150.0,150.0,150.0
185,9,36 inch bins,150.0,150.0,150.0
186,9,36 inch bins,140.0,145.0,142.5
187,9,36 inch bins,140.0,140.0,140.0
188,11,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
189,11,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
190,11,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
191,11,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
192,9,24 inch bins,135.0,135.0,135.0
193,10,24 inch bins,135.0,135.0,135.0
194,10,24 inch bins,135.0,135.0,135.0
195,10,24 inch bins,135.0,135.0,135.0
196,10,24 inch bins,135.0,135.0,135.0
197,10,24 inch bins,135.0,135.0,135.0
198,11,24 inch bins,123.5,135.0,129.25
199,11,24 inch bins,123.5,135.0,129.25
200,11,24 inch bins,123.5,135.0,129.25
201,11,24 inch bins,123.5,135.0,129.25
202,9,36 inch bins,210.0,286.0,248.0
203,10,36 inch bins,210.0,286.0,248.0
204,10,36 inch bins,210.0,286.0,248.0
205,10,36 inch bins,210.0,286.0,248.0
206,10,36 inch bins,210.0,286.0,248.0
207,10,36 inch bins,210.0,286.0,248.0
208,11,36 inch bins,210.0,286.0,248.0
209,9,1 1/9 bushel cartons,16.5,18.0,15.524999999999999
210,9,36 inch bins,160.0,200.0,180.0
211,9,36 inch bins,160.0,200.0,180.0
212,9,36 inch bins,160.0,200.0,180.0
213,9,36 inch bins,160.0,200.0,180.0
214,9,36 inch bins,160.0,180.0,170.0
215,9,36 inch bins,160.0,180.0,170.0
216,9,36 inch bins,140.0,160.0,150.0
217,9,36 inch bins,140.0,160.0,150.0
218,9,36 inch bins,140.0,160.0,150.0
219,9,36 inch bins,200.0,225.0,212.5
220,9,36 inch bins,180.0,225.0,202.5
221,9,36 inch bins,180.0,225.0,202.5
222,9,36 inch bins,180.0,225.0,202.5
223,9,36 inch bins,180.0,225.0,202.5
224,9,36 inch bins,180.0,225.0,202.5
225,9,36 inch bins,170.0,180.0,175.0
226,9,36 inch bins,170.0,180.0,175.0
227,9,36 inch bins,140.0,160.0,150.0
228,9,36 inch bins,140.0,160.0,150.0
229,10,36 inch bins,160.0,200.0,180.0
230,10,36 inch bins,160.0,200.0,180.0
231,10,36 inch bins,160.0,200.0,180.0
232,10,36 inch bins,160.0,200.0,180.0
233,10,36 inch bins,160.0,180.0,170.0
234,10,36 inch bins,160.0,180.0,170.0
235,10,36 inch bins,140.0,160.0,150.0
236,10,36 inch bins,140.0,160.0,150.0
237,10,36 inch bins,140.0,160.0,150.0
238,10,36 inch bins,200.0,225.0,212.5
239,10,36 inch bins,180.0,225.0,202.5
240,10,36 inch bins,180.0,225.0,202.5
241,10,36 inch bins,180.0,225.0,202.5
242,10,36 inch bins,180.0,225.0,202.5
243,10,36 inch bins,180.0,225.0,202.5
244,10,36 inch bins,170.0,180.0,175.0
245,10,36 inch bins,170.0,180.0,175.0
246,10,36 inch bins,140.0,160.0,150.0
247,10,36 inch bins,140.0,160.0,150.0
248,10,36 inch bins,160.0,200.0,180.0
249,10,36 inch bins,160.0,200.0,180.0
250,10,36 inch bins,160.0,200.0,180.0
251,10,36 inch bins,160.0,200.0,180.0
252,10,36 inch bins,160.0,180.0,170.0
253,10,36 inch bins,160.0,180.0,170.0
254,10,36 inch bins,140.0,160.0,150.0
255,10,36 inch bins,140.0,160.0,150.0
256,10,36 inch bins,140.0,160.0,150.0
257,10,36 inch bins,200.0,225.0,212.5
258,10,36 inch bins,180.0,225.0,202.5
259,10,36 inch bins,180.0,225.0,202.5
260,10,36 inch bins,180.0,225.0,202.5
261,10,36 inch bins,180.0,225.0,202.5
262,10,36 inch bins,180.0,225.0,202.5
263,10,36 inch bins,170.0,180.0,175.0
264,10,36 inch bins,170.0,180.0,175.0
265,10,36 inch bins,140.0,160.0,150.0
266,10,36 inch bins,140.0,160.0,150.0
267,10,36 inch bins,160.0,200.0,180.0
268,10,36 inch bins,160.0,200.0,180.0
269,10,36 inch bins,160.0,200.0,180.0
270,10,36 inch bins,160.0,200.0,180.0
271,10,36 inch bins,160.0,180.0,170.0
272,10,36 inch bins,160.0,180.0,170.0
273,10,36 inch bins,140.0,160.0,150.0
274,10,36 inch bins,140.0,160.0,150.0
275,10,36 inch bins,140.0,160.0,150.0
276,10,36 inch bins,200.0,225.0,212.5
277,10,36 inch bins,180.0,225.0,202.5
278,10,36 inch bins,180.0,225.0,202.5
279,10,36 inch bins,180.0,225.0,202.5
280,10,36 inch bins,180.0,225.0,202.5
281,10,36 inch bins,180.0,225.0,202.5
282,10,36 inch bins,170.0,180.0,175.0
283,10,36 inch bins,170.0,180.0,175.0
284,10,36 inch bins,140.0,160.0,150.0
285,10,36 inch bins,140.0,160.0,150.0
286,10,36 inch bins,150.0,200.0,175.0
287,10,36 inch bins,160.0,200.0,180.0
288,10,36 inch bins,150.0,200.0,175.0
289,10,36 inch bins,160.0,200.0,180.0
290,10,36 inch bins,160.0,180.0,170.0
291,10,36 inch bins,150.0,180.0,165.0
292,10,36 inch bins,140.0,160.0,150.0
293,10,36 inch bins,140.0,160.0,150.0
294,10,36 inch bins,130.0,160.0,145.0
295,10,36 inch bins,195.0,225.0,210.0
296,10,36 inch bins,180.0,225.0,202.5
297,10,36 inch bins,180.0,225.0,202.5
298,10,36 inch bins,180.0,225.0,202.5
299,10,36 inch bins,180.0,225.0,202.5
300,10,36 inch bins,175.0,225.0,200.0
301,10,36 inch bins,170.0,180.0,175.0
302,10,36 inch bins,160.0,180.0,170.0
303,10,36 inch bins,140.0,160.0,150.0
304,10,36 inch bins,140.0,160.0,150.0
305,10,36 inch bins,150.0,200.0,175.0
306,10,36 inch bins,160.0,200.0,180.0
307,10,36 inch bins,160.0,200.0,180.0
308,10,36 inch bins,150.0,200.0,175.0
309,10,36 inch bins,150.0,180.0,165.0
310,10,36 inch bins,160.0,180.0,170.0
311,10,36 inch bins,140.0,160.0,150.0
312,10,36 inch bins,140.0,160.0,150.0
313,10,36 inch bins,130.0,160.0,145.0
314,10,36 inch bins,180.0,225.0,202.5
315,10,36 inch bins,170.0,225.0,197.5
316,10,36 inch bins,170.0,225.0,197.5
317,10,36 inch bins,160.0,225.0,192.5
318,10,36 inch bins,160.0,225.0,192.5
319,10,36 inch bins,150.0,225.0,187.5
320,10,36 inch bins,160.0,180.0,170.0
321,10,36 inch bins,150.0,180.0,165.0
322,10,36 inch bins,140.0,160.0,150.0
323,10,36 inch bins,140.0,160.0,150.0
324,11,36 inch bins,180.0,225.0,202.5
325,11,36 inch bins,170.0,225.0,197.5
326,11,36 inch bins,170.0,225.0,197.5
327,11,36 inch bins,160.0,225.0,192.5
328,11,36 inch bins,160.0,225.0,192.5
329,11,36 inch bins,150.0,225.0,187.5
330,9,36 inch bins,200.0,225.0,212.5
331,9,36 inch bins,175.0,200.0,187.5
332,9,36 inch bins,175.0,200.0,187.5
333,9,36 inch bins,200.0,225.0,212.5
334,9,36 inch bins,175.0,200.0,187.5
335,9,36 inch bins,175.0,200.0,187.5
336,9,36 inch bins,200.0,225.0,212.5
337,9,36 inch bins,175.0,200.0,187.5
338,9,36 inch bins,175.0,200.0,187.5
339,9,36 inch bins,200.0,225.0,212.5
340,9,36 inch bins,175.0,200.0,187.5
341,9,36 inch bins,175.0,200.0,187.5
342,9,24 inch bins,260.0,285.0,272.5
343,9,24 inch bins,260.0,285.0,272.5
344,10,24 inch bins,260.0,285.0,272.5
345,10,24 inch bins,260.0,285.0,272.5
346,10,24 inch bins,260.0,285.0,272.5
347,10,24 inch bins,260.0,285.0,272.5
348,10,24 inch bins,260.0,285.0,272.5
349,10,24 inch bins,260.0,285.0,272.5
350,10,24 inch bins,260.0,285.0,272.5
351,10,24 inch bins,260.0,285.0,272.5
352,10,24 inch bins,260.0,285.0,272.5
353,10,24 inch bins,260.0,285.0,272.5
354,11,24 inch bins,260.0,285.0,272.5
355,11,24 inch bins,260.0,285.0,272.5
356,9,1/2 bushel cartons,15.0,16.0,31.0
357,10,1/2 bushel cartons,15.0,16.0,31.0
358,10,1/2 bushel cartons,15.0,16.0,31.0
359,10,1/2 bushel cartons,15.0,16.0,31.0
360,10,1/2 bushel cartons,15.0,16.0,31.0
361,10,1/2 bushel cartons,15.0,16.0,31.0
362,11,1/2 bushel cartons,15.0,16.0,31.0
363,9,24 inch bins,260.0,285.0,272.5
364,9,24 inch bins,260.0,285.0,272.5
365,10,24 inch bins,260.0,285.0,272.5
366,10,24 inch bins,260.0,285.0,272.5
367,10,24 inch bins,260.0,285.0,272.5
368,10,24 inch bins,260.0,285.0,272.5
369,10,24 inch bins,260.0,285.0,272.5
370,10,24 inch bins,260.0,285.0,272.5
371,10,24 inch bins,260.0,285.0,272.5
372,10,24 inch bins,260.0,285.0,272.5
373,10,24 inch bins,260.0,285.0,272.5
374,10,24 inch bins,260.0,285.0,272.5
375,11,24 inch bins,260.0,285.0,272.5
376,11,24 inch bins,260.0,285.0,272.5
377,9,1 1/9 bushel crates,15.0,16.0,13.95
378,10,1 1/9 bushel crates,15.0,16.0,13.95
379,10,1 1/9 bushel crates,15.0,16.0,13.95
380,10,1 1/9 bushel crates,15.0,16.0,13.95
381,10,1 1/9 bushel crates,15.0,16.0,13.95
382,10,1 1/9 bushel crates,15.0,16.0,13.95
383,11,1 1/9 bushel crates,15.0,16.0,13.95
384,11,1 1/9 bushel crates,15.0,16.0,13.95
385,11,1 1/9 bushel crates,15.0,16.0,13.95
386,11,1 1/9 bushel crates,15.0,16.0,13.95
387,12,1 1/9 bushel crates,15.0,16.0,13.95
388,9,1 1/9 bushel cartons,15.0,16.0,13.95
389,10,1 1/9 bushel cartons,15.0,16.0,13.95
390,10,1 1/9 bushel cartons,15.0,16.0,13.95
391,10,1 1/9 bushel cartons,15.0,16.0,13.95
392,10,1 1/9 bushel cartons,15.0,16.0,13.95
393,10,1 1/9 bushel cartons,15.0,16.0,13.95
394,11,1 1/9 bushel cartons,15.0,16.0,13.95
395,11,1 1/9 bushel cartons,15.0,16.0,13.95
396,11,1 1/9 bushel cartons,15.0,16.0,13.95
397,11,1 1/9 bushel cartons,15.0,16.0,13.95
398,12,1 1/9 bushel cartons,15.0,16.0,13.95
399,12,1 1/9 bushel cartons,15.0,16.0,13.95
400,9,24 inch bins,175.0,180.0,177.5
401,9,24 inch bins,170.0,180.0,175.0
402,10,24 inch bins,175.0,180.0,177.5
403,10,24 inch bins,200.0,200.0,200.0
404,10,24 inch bins,170.0,180.0,175.0
405,10,24 inch bins,175.0,180.0,177.5
406,10,24 inch bins,200.0,200.0,200.0
407,10,24 inch bins,170.0,180.0,175.0
408,10,24 inch bins,175.0,180.0,177.5
409,10,24 inch bins,190.0,200.0,195.0
410,10,24 inch bins,170.0,180.0,175.0
411,10,24 inch bins,175.0,175.0,175.0
412,10,24 inch bins,170.0,180.0,175.0
413,10,24 inch bins,150.0,175.0,162.5
414,10,24 inch bins,175.0,200.0,187.5
415,10,24 inch bins,170.0,180.0,175.0
416,10,24 inch bins,175.0,175.0,175.0
417,10,24 inch bins,170.0,180.0,175.0
418,10,24 inch bins,150.0,175.0,162.5
419,10,24 inch bins,175.0,200.0,187.5
420,10,24 inch bins,170.0,180.0,175.0
421,10,24 inch bins,175.0,175.0,175.0
422,11,24 inch bins,135.0,150.0,142.5
423,11,24 inch bins,135.0,150.0,142.5
424,11,24 inch bins,135.0,150.0,142.5
425,9,36 inch bins,170.0,220.0,195.0
426,9,36 inch bins,250.0,300.0,275.0
427,9,36 inch bins,200.0,220.0,210.0
428,9,36 inch bins,260.0,280.0,270.0
429,9,36 inch bins,180.0,225.0,202.5
430,9,36 inch bins,180.0,225.0,202.5
431,10,36 inch bins,170.0,220.0,195.0
432,10,36 inch bins,250.0,300.0,275.0
433,10,36 inch bins,200.0,220.0,210.0
434,10,36 inch bins,250.0,280.0,265.0
435,10,36 inch bins,180.0,225.0,202.5
436,10,36 inch bins,180.0,225.0,202.5
437,10,36 inch bins,170.0,220.0,195.0
438,10,36 inch bins,250.0,300.0,275.0
439,10,36 inch bins,200.0,220.0,210.0
440,10,36 inch bins,250.0,280.0,265.0
441,10,36 inch bins,180.0,225.0,202.5
442,10,36 inch bins,180.0,225.0,202.5
443,10,36 inch bins,170.0,220.0,195.0
444,10,36 inch bins,250.0,300.0,275.0
445,10,36 inch bins,200.0,220.0,210.0
446,10,36 inch bins,250.0,280.0,265.0
447,10,36 inch bins,180.0,225.0,202.5
448,10,36 inch bins,180.0,225.0,202.5
449,10,36 inch bins,220.0,220.0,220.0
450,10,36 inch bins,170.0,220.0,195.0
451,10,36 inch bins,250.0,300.0,275.0
452,10,36 inch bins,200.0,240.0,220.0
453,10,36 inch bins,250.0,280.0,265.0
454,10,36 inch bins,180.0,225.0,202.5
455,10,36 inch bins,175.0,225.0,200.0
456,10,36 inch bins,200.0,220.0,210.0
457,10,36 inch bins,170.0,220.0,195.0
458,10,36 inch bins,250.0,300.0,275.0
459,10,36 inch bins,200.0,240.0,220.0
460,10,36 inch bins,250.0,280.0,265.0
461,10,36 inch bins,180.0,225.0,202.5
462,10,36 inch bins,175.0,225.0,200.0
463,10,36 inch bins,200.0,220.0,210.0
464,11,36 inch bins,240.0,300.0,270.0
465,11,36 inch bins,190.0,240.0,215.0
466,11,36 inch bins,240.0,240.0,240.0
467,11,36 inch bins,190.0,190.0,190.0
468,11,36 inch bins,200.0,240.0,220.0
469,11,36 inch bins,200.0,240.0,220.0
470,11,36 inch bins,200.0,240.0,220.0
471,11,36 inch bins,200.0,220.0,210.0
472,11,36 inch bins,200.0,220.0,210.0
473,11,36 inch bins,200.0,220.0,210.0
474,11,36 inch bins,200.0,220.0,210.0
475,11,36 inch bins,200.0,220.0,210.0
476,11,36 inch bins,200.0,220.0,210.0
477,9,36 inch bins,300.0,300.0,300.0
478,9,36 inch bins,300.0,300.0,300.0
479,9,36 inch bins,200.0,200.0,200.0
480,9,36 inch bins,270.0,300.0,285.0
481,9,36 inch bins,270.0,300.0,285.0
482,9,36 inch bins,270.0,300.0,285.0
483,9,36 inch bins,270.0,300.0,285.0
484,9,36 inch bins,270.0,300.0,285.0
485,9,36 inch bins,270.0,300.0,285.0
486,9,36 inch bins,270.0,300.0,285.0
487,9,36 inch bins,270.0,300.0,285.0
488,9,36 inch bins,270.0,300.0,285.0
489,9,bushel cartons,20.0,24.0,22.0
490,9,bushel cartons,20.0,24.0,22.0
491,9,24 inch bins,260.0,285.0,272.5
492,10,24 inch bins,260.0,285.0,272.5
493,10,24 inch bins,260.0,285.0,272.5
494,10,24 inch bins,260.0,285.0,272.5
495,10,24 inch bins,260.0,285.0,272.5
496,10,24 inch bins,260.0,285.0,272.5
497,11,24 inch bins,260.0,285.0,272.5
498,9,24 inch bins,260.0,285.0,272.5
499,10,24 inch bins,260.0,285.0,272.5
500,10,24 inch bins,260.0,285.0,272.5
501,10,24 inch bins,260.0,285.0,272.5
502,10,24 inch bins,260.0,285.0,272.5
503,10,24 inch bins,260.0,285.0,272.5
504,11,24 inch bins,260.0,285.0,272.5
505,9,24 inch bins,260.0,285.0,272.5
506,10,24 inch bins,260.0,285.0,272.5
507,10,24 inch bins,260.0,285.0,272.5
508,10,24 inch bins,260.0,285.0,272.5
509,10,24 inch bins,260.0,285.0,272.5
510,10,24 inch bins,260.0,285.0,272.5
511,11,24 inch bins,260.0,285.0,272.5
512,9,36 inch bins,175.0,175.0,175.0
513,9,36 inch bins,200.0,225.0,212.5
514,9,36 inch bins,175.0,200.0,187.5
515,9,36 inch bins,175.0,200.0,187.5
516,9,36 inch bins,175.0,200.0,187.5
517,9,36 inch bins,175.0,200.0,187.5
518,9,36 inch bins,200.0,225.0,212.5
519,9,36 inch bins,175.0,200.0,187.5
520,9,36 inch bins,200.0,225.0,212.5
521,9,36 inch bins,175.0,200.0,187.5
522,9,36 inch bins,175.0,200.0,187.5
523,9,36 inch bins,175.0,200.0,187.5
524,9,36 inch bins,175.0,200.0,187.5
525,9,36 inch bins,200.0,225.0,212.5
526,9,36 inch bins,175.0,200.0,187.5
527,9,36 inch bins,200.0,225.0,212.5
528,9,36 inch bins,175.0,200.0,187.5
529,9,36 inch bins,175.0,200.0,187.5
530,9,36 inch bins,175.0,200.0,187.5
531,9,36 inch bins,175.0,200.0,187.5
532,9,36 inch bins,200.0,225.0,212.5
533,9,36 inch bins,175.0,200.0,187.5
534,9,1/2 bushel cartons,15.0,18.0,33.0
535,9,1/2 bushel cartons,15.0,18.0,33.0
536,10,1/2 bushel cartons,15.0,18.0,33.0
537,10,1/2 bushel cartons,15.0,18.0,33.0
538,10,1/2 bushel cartons,15.0,18.0,33.0
539,10,1/2 bushel cartons,15.0,18.0,33.0
540,10,1/2 bushel cartons,15.0,18.0,33.0
541,10,1/2 bushel cartons,15.0,18.0,33.0
542,10,1/2 bushel cartons,15.0,18.0,33.0
543,10,1/2 bushel cartons,15.0,18.0,33.0
544,10,1/2 bushel cartons,15.0,18.0,33.0
545,10,1/2 bushel cartons,15.0,18.0,33.0
546,11,1/2 bushel cartons,15.0,18.0,33.0
547,11,1/2 bushel cartons,15.0,18.0,33.0
548,9,1/2 bushel cartons,15.0,18.0,33.0
549,9,1/2 bushel cartons,15.0,18.0,33.0
550,10,1/2 bushel cartons,15.0,18.0,33.0
551,10,1/2 bushel cartons,15.0,18.0,33.0
552,10,1/2 bushel cartons,15.0,18.0,33.0
553,10,1/2 bushel cartons,15.0,18.0,33.0
554,10,1/2 bushel cartons,15.0,18.0,33.0
555,10,1/2 bushel cartons,15.0,18.0,33.0
556,10,1/2 bushel cartons,15.0,18.0,33.0
557,10,1/2 bushel cartons,15.0,18.0,33.0
558,10,1/2 bushel cartons,15.0,18.0,33.0
559,10,1/2 bushel cartons,15.0,18.0,33.0
560,11,1/2 bushel cartons,15.0,18.0,33.0
561,11,1/2 bushel cartons,15.0,18.0,33.0
562,9,24 inch bins,200.0,225.0,212.5
563,9,24 inch bins,200.0,220.0,210.0
564,9,24 inch bins,200.0,225.0,212.5
565,9,24 inch bins,200.0,220.0,210.0
566,9,24 inch bins,200.0,225.0,212.5
567,9,24 inch bins,200.0,220.0,210.0
568,9,36 inch bins,135.0,135.0,135.0
569,9,36 inch bins,130.0,130.0,130.0
570,10,36 inch bins,130.0,135.0,132.5
571,10,36 inch bins,130.0,130.0,130.0
572,10,36 inch bins,130.0,130.0,130.0
573,10,36 inch bins,130.0,130.0,130.0
574,10,36 inch bins,130.0,135.0,132.5
575,10,36 inch bins,130.0,130.0,130.0
576,10,36 inch bins,60.0,60.0,60.0
577,10,36 inch bins,130.0,135.0,132.5
578,10,36 inch bins,130.0,130.0,130.0
